A,B,C,D,E,F,G,H,I,J,RESULT
0,0,0,1,5,9300,0,2,1,1307,0
0,0,1,0,7,0,0,11,1,172,0
1,0,0,0,5,0,0,0,1,896,0
0,0,0,1,7,6510,0,4,1,133,0
0,0,0,1,7,9500,0,7,1,19,0
0,0,1,0,7,0,0,2,1,88,0
0,1,1,1,7,0,1,2,1,43259,0
0,0,0,1,4,0,0,4,1,43259,0
0,1,0,1,7,18600,0,16,1,1363,0
0,0,0,1,7,0,0,46,1,2147,0
0,0,0,1,3,0,0,1,1,43259,0
0,0,1,0,7,0,0,17,1,3,0
0,0,1,1,7,0,0,3,1,43259,0
0,0,0,1,4,5200,0,6,1,108,0
0,0,1,1,7,0,0,7,1,12,0
0,1,0,0,7,0,0,3,1,200,0
0,0,1,1,7,0,0,21,1,5,0
0,0,1,0,7,0,0,14,1,5,1
1,0,0,0,1,0,0,0,1,43259,0
0,0,1,1,7,6200,0,27,1,31,0
0,0,0,1,7,0,0,2,1,182,0
0,0,0,1,7,0,0,8,1,43259,0
0,1,1,0,7,0,0,3,1,43259,0
0,0,0,1,1,0,0,1,1,532,0
0,0,1,1,3,0,0,9,1,43259,0
0,0,0,1,6,0,0,1,1,1330,0
0,0,0,1,6,7500,0,1,1,49,0
0,0,0,1,6,5208,0,1,1,43259,0
0,0,1,1,7,0,0,6,1,33,0
1,0,0,1,7,5500,0,1,1,3,1
0,0,0,1,4,0,0,1,1,43259,0
0,0,0,1,7,0,0,1,1,43259,0
0,0,0,1,2,0,0,4,0,43259,0
0,0,0,1,3,20000,0,18,1,1719,0
0,0,1,0,7,0,0,1,1,43259,0
0,1,0,1,7,13500,0,5,1,7,0
0,0,0,1,1,0,0,2,1,43259,1
0,0,1,0,2,0,0,1,1,272,0
0,0,0,1,7,0,0,10,1,43259,0
0,0,0,1,2,0,0,1,1,43259,0
0,0,0,1,2,0,0,2,1,2649,0
0,1,0,0,7,0,0,4,1,87,0
0,0,0,1,7,15500,0,2,1,105,0
0,0,1,0,4,0,0,10,1,137,0
0,0,0,1,7,0,0,10,1,43259,0
0,0,1,1,3,0,0,7,1,5,0
0,0,1,1,1,0,0,2,1,1070,0
0,0,0,1,3,0,1,3,1,43259,0
0,0,1,1,7,0,0,20,1,55,0
0,0,0,1,1,0,0,1,1,43259,1
0,0,0,1,7,13000,0,3,1,94,0
0,0,1,0,7,0,0,31,1,26,0
0,0,1,1,3,0,0,5,1,43259,0
0,0,1,0,7,0,1,13,1,39,0
0,0,1,1,7,0,0,2,1,75,0
0,0,0,1,7,0,0,5,1,1448,0
0,0,1,1,7,0,1,5,1,43259,0
0,0,1,1,7,0,0,15,1,43259,0
0,0,0,1,7,0,0,11,1,159,0
0,0,0,1,7,0,0,4,1,90,0
0,1,0,0,7,5208,0,12,1,31,0
0,0,1,0,7,8200,0,2,1,74,0
0,0,0,1,7,15000,0,13,1,56,0
0,0,1,1,1,17000,0,7,1,3,0
0,0,0,1,7,0,0,23,1,26,0
0,0,1,0,7,0,0,16,1,3,0
0,0,1,0,7,0,0,51,1,11,0
0,0,1,1,3,0,0,3,1,43259,0
0,0,0,1,7,10000,0,18,1,43259,0
0,0,0,1,7,0,0,5,1,809,0
0,0,1,0,1,9500,0,1,1,838,0
0,0,0,1,7,0,0,5,1,76,0
0,0,0,1,1,5580,0,1,1,43259,0
0,0,1,0,6,7700,0,5,1,108,0
0,0,0,1,7,0,0,1,1,43259,0
0,0,1,0,7,10000,0,20,1,12,0
0,0,0,1,7,5500,1,6,1,26,0
0,0,0,1,7,5952,0,2,1,32,0
0,0,0,1,7,0,0,4,1,43259,0
0,0,0,1,6,0,0,1,1,388,0
0,0,1,0,7,5394,0,1,1,209,0
0,1,0,0,7,6000,0,3,1,77,0
0,0,1,0,7,7000,0,3,1,1025,0
0,0,0,1,3,0,0,2,0,43259,0
1,0,1,1,1,0,0,16,1,860,1
0,0,1,0,7,0,0,4,1,5,0
0,0,0,1,3,0,0,1,1,43259,0
1,1,1,1,7,10000,0,4,1,43259,0
0,0,0,1,3,0,0,2,1,43259,0
0,0,1,0,7,0,0,2,1,62,0
0,1,0,0,7,18500,0,1,1,1558,0
0,0,0,1,7,10800,0,1,1,685,0
0,0,0,1,7,0,0,3,1,6,0
0,0,1,1,7,5000,0,32,1,33,0
0,1,0,0,7,0,0,5,1,531,0
0,0,1,0,7,0,1,1,1,94,0
0,0,0,1,7,5022,0,1,1,43259,0
0,1,0,0,7,0,0,2,1,1936,0
0,0,0,1,3,0,0,6,1,2044,0
0,0,0,1,5,0,0,1,0,43259,0
0,1,1,1,7,5952,0,27,1,221,0
0,0,1,0,7,0,0,13,1,43259,0
0,0,0,1,7,8500,0,2,1,181,0
0,0,0,1,6,0,0,5,1,43259,0
0,0,0,1,7,7500,0,2,1,56,1
0,0,1,0,7,14880,0,9,1,19,0
0,0,0,1,7,13500,0,4,1,43259,0
0,0,0,1,7,0,0,4,1,546,0
0,1,0,1,7,30000,0,8,1,0,0
0,1,0,1,1,0,0,1,1,1911,0
0,1,1,1,7,6000,0,22,1,18,0
0,0,0,1,7,0,0,17,1,43259,0
0,1,0,1,3,0,0,5,1,43259,0
0,1,1,1,7,0,0,18,1,2393,0
0,1,0,1,3,0,0,5,1,43259,1
0,0,0,1,3,0,0,1,0,43259,0
0,1,0,0,7,5208,0,2,1,43259,0
0,0,1,0,7,0,0,5,1,43259,0
0,0,0,1,7,0,0,2,1,43259,0
0,0,0,1,7,8500,0,3,1,913,0
0,1,0,1,3,0,0,1,0,43259,0
0,0,0,1,7,8000,0,3,1,75,0
0,0,0,1,7,0,0,2,1,75,0
1,0,0,1,6,0,0,1,1,43259,0
0,0,0,1,3,0,1,1,0,43259,0
0,0,0,1,3,0,1,2,0,43259,0
0,1,1,1,7,11500,1,27,1,3,0
0,0,1,1,7,0,0,3,1,27,0
0,0,0,1,6,0,0,0,1,43259,0
0,0,1,0,7,0,0,14,1,43259,0
0,0,1,0,7,0,0,1,1,43259,0
0,0,0,1,3,0,0,1,0,43259,0
1,1,0,1,4,10000,0,7,1,6,0
0,0,1,0,4,15000,0,4,1,43259,0
0,1,1,0,7,0,0,11,1,18,0
0,0,0,1,3,0,0,0,1,43259,0
0,0,0,1,4,0,1,1,0,43259,0
0,1,1,1,7,0,0,5,1,43259,0
0,0,0,1,7,0,0,22,1,27,0
0,0,1,0,7,0,0,2,1,43259,0
0,1,1,1,7,8300,0,25,1,6,0
0,0,1,0,6,0,0,3,1,43259,0
1,0,1,1,7,0,0,3,1,43259,0
0,0,0,1,6,6780,0,3,1,90,0
0,0,0,1,7,0,0,0,0,43259,0
0,0,0,1,7,7440,0,2,1,43259,0
0,0,1,0,7,0,0,11,1,24,0
0,0,0,1,3,0,0,4,1,43259,0
1,0,1,0,3,0,0,1,1,43259,0
0,0,0,1,7,0,0,9,1,1677,0
0,0,1,1,7,0,0,44,1,105,0
0,0,0,1,2,0,0,3,1,43259,0
0,0,1,0,7,0,0,3,1,25,0
0,0,1,0,7,8000,0,6,1,55,0
0,0,0,1,3,21000,0,1,1,43259,0
1,0,0,1,3,12000,0,1,1,4,0
0,0,0,1,5,0,0,1,1,43259,0
0,0,0,1,4,0,0,1,1,43259,0
0,1,0,1,7,20000,0,5,1,4,0
0,1,1,0,7,0,0,5,1,39,0
0,0,1,1,7,13000,0,13,1,7,0
0,1,0,1,7,0,0,1,1,43259,0
0,0,1,0,7,6500,0,3,1,43259,0
0,0,1,0,7,0,0,8,1,39,0
0,0,1,0,7,15350,0,6,1,14,0
0,0,1,0,7,0,0,1,1,83,0
0,0,0,1,7,5022,0,2,1,54,0
0,0,1,0,7,0,0,29,1,34,0
0,0,0,1,7,0,0,6,1,0,0
0,0,1,0,5,0,0,3,1,43259,0
0,0,1,0,5,0,0,1,1,43259,0
0,1,1,1,7,20000,0,35,1,27,0
0,0,0,1,1,9000,0,6,1,43259,0
0,1,0,1,1,0,0,3,0,43259,0
1,0,0,0,3,7500,0,0,0,43259,0
0,0,0,1,3,0,0,4,1,43259,0
0,0,1,0,7,0,0,3,0,43259,0
0,0,1,1,7,0,0,16,1,39,0
0,0,1,0,7,0,0,17,1,45,0
0,0,1,0,4,0,0,1,1,43259,0
0,0,1,1,7,0,0,61,1,39,0
1,0,0,0,7,9000,0,1,1,28,0
0,0,0,1,6,0,0,2,1,131,0
0,0,0,1,7,15000,0,7,1,6,0
0,0,0,1,7,22000,0,1,1,942,0
0,0,0,1,1,7500,0,1,1,43259,0
0,0,0,1,1,0,0,4,1,43259,1
0,0,0,1,7,10000,0,1,1,55,0
0,0,1,0,7,0,0,3,1,43259,0
0,0,1,0,7,7068,0,4,1,43259,0
1,0,0,0,7,6000,0,0,1,1116,0
0,0,0,1,7,0,0,1,1,444,0
0,0,1,0,7,7000,0,7,1,11,0
0,1,1,1,7,0,0,59,1,25,0
0,0,1,1,7,17000,0,21,1,14,0
0,0,0,1,5,0,0,1,0,43259,0
0,0,1,1,3,0,0,9,1,43259,0
0,1,1,0,7,0,0,6,1,34,0
0,0,1,1,4,8300,0,4,1,2026,0
0,0,0,1,1,0,0,1,1,43259,0
0,0,1,1,7,0,0,9,1,43259,0
0,0,1,0,7,0,0,18,1,3,0
0,0,1,1,7,0,0,4,1,2239,0
0,0,0,1,7,0,0,8,0,43259,0
0,0,1,0,7,0,0,3,1,43259,0
0,0,1,1,5,8000,1,1,1,7,1
0,0,1,1,7,9000,0,12,1,137,0
0,0,0,1,7,0,0,4,1,11,0
0,0,0,1,7,22000,0,1,1,40,0
0,0,1,1,7,5000,0,8,1,25,0
0,0,1,0,7,0,0,6,1,11,0
0,1,0,0,7,14000,0,42,1,14,0
0,0,1,0,7,0,0,2,1,185,0
0,0,0,1,6,0,0,1,0,3027,0
0,0,0,1,2,0,0,1,1,43259,0
0,1,1,0,7,0,0,4,1,74,0
0,0,1,1,7,5208,0,9,1,11,0
0,0,1,0,6,10000,0,1,1,43259,0
0,1,0,1,7,10000,0,3,1,7,0
0,0,0,1,7,7000,0,21,1,3,0
0,0,0,1,1,0,0,2,0,43259,0
0,0,0,1,7,0,0,15,1,38,0
0,1,1,0,7,0,0,4,1,43259,0
0,0,1,1,7,11500,0,4,1,138,0
0,0,0,1,7,6500,0,1,1,437,0
0,0,1,1,7,0,0,4,1,332,0
0,0,1,0,6,5580,0,4,1,41,0
0,0,1,0,7,13500,0,1,1,123,0
0,0,0,1,7,0,0,1,1,61,0
0,0,1,1,7,10000,0,27,1,5,0
1,0,0,0,6,7250,0,0,1,43259,0
0,0,1,0,7,0,0,8,0,43259,0
0,0,1,1,2,8000,0,4,1,1959,1
0,0,0,1,4,7500,0,0,1,3617,0
0,0,1,0,7,12000,0,2,1,43259,0
0,0,0,1,4,0,0,2,1,1593,0
0,1,0,1,7,5000,0,2,0,43259,0
0,0,1,0,7,0,0,9,1,43259,0
0,0,0,1,6,0,0,1,1,888,0
0,1,0,1,4,0,0,3,1,186,0
0,0,0,1,1,0,0,4,1,1762,0
0,0,0,1,7,0,1,5,0,43259,0
0,0,0,1,3,0,0,0,1,43259,0
0,0,0,1,3,0,0,1,0,43259,0
0,0,0,1,7,0,0,10,1,1642,0
0,0,0,1,7,9000,0,1,1,318,0
0,0,1,0,7,0,0,3,1,43259,0
0,0,1,0,6,12000,0,1,1,188,0
0,0,0,1,7,6000,0,2,0,43259,0
0,1,0,0,7,0,0,1,1,43259,0
0,0,0,1,7,11000,0,5,1,33,0
0,0,0,1,7,5580,0,8,1,39,0
0,0,0,1,7,0,0,1,1,208,0
0,0,1,0,7,0,0,7,1,10,0
0,0,0,1,3,0,0,4,0,43259,0
0,0,1,1,6,0,0,8,1,49,0
0,0,0,1,6,0,0,1,1,185,0
0,1,0,1,3,0,0,3,1,3,0
0,0,0,1,7,0,0,9,1,43259,0
0,0,1,0,7,14500,0,3,1,77,0
0,0,0,1,1,7800,0,3,1,43259,0
0,0,1,0,7,0,0,3,1,108,0
0,0,0,1,4,13000,0,1,1,43259,0
0,0,0,1,3,0,0,2,1,43259,0
1,1,1,1,7,8000,0,8,1,0,0
0,0,1,0,7,0,0,1,1,43259,0
0,0,0,1,7,0,0,21,1,542,0
0,0,0,1,2,0,0,1,1,43259,0
0,0,0,1,7,0,0,1,1,2379,0
0,0,0,1,7,0,0,6,1,46,0
0,0,0,1,1,0,0,3,1,43259,0
1,0,0,0,2,6000,0,0,1,587,1
1,0,1,1,7,5500,0,12,1,244,0
0,0,1,1,1,0,0,2,1,43259,0
0,1,1,1,7,0,0,5,1,43259,0
0,0,1,0,3,0,0,3,1,43259,0
0,1,0,1,7,0,0,2,1,35,0
0,0,0,1,7,0,0,1,1,1529,0
0,0,1,0,7,0,0,2,1,28,0
0,0,1,0,6,8500,0,2,1,179,0
1,0,0,1,3,0,0,1,1,43259,0
0,1,1,1,7,15000,0,48,1,19,0
0,0,0,1,7,0,0,2,1,43259,0
0,1,0,0,7,0,0,2,1,803,0
0,0,0,1,7,0,0,1,1,1869,0
0,0,1,0,7,0,0,3,1,43259,0
0,0,0,1,7,0,0,14,1,11,0
0,0,0,1,7,6500,0,15,1,18,0
0,0,1,0,7,0,0,11,1,6,0
0,0,0,1,7,0,0,2,1,1873,0
0,1,0,0,6,8100,0,4,1,214,0
0,0,1,1,3,0,0,6,1,43259,0
0,0,0,1,7,5555,0,7,1,27,0
0,0,0,1,7,0,0,15,1,43259,0
0,0,1,0,3,0,0,5,1,6,0
1,0,0,0,7,0,0,0,1,43259,0
0,0,1,1,7,0,0,20,1,707,0
0,0,1,0,7,11200,0,32,1,31,0
0,0,1,0,7,15400,0,3,1,165,0
0,0,1,1,7,0,0,88,1,24,0
0,0,0,1,3,0,0,1,1,43259,0
0,0,1,0,7,0,0,3,1,43259,0
1,0,1,0,7,0,0,8,1,6,0
0,0,1,0,7,0,0,1,0,43259,0
0,0,1,0,7,0,0,4,1,43259,0
0,0,1,1,6,0,0,21,1,43259,0
0,0,0,1,3,0,0,1,0,43259,0
0,0,0,1,7,0,0,3,1,949,0
0,0,0,1,7,6201,0,3,1,43259,0
0,0,1,1,1,0,1,2,1,907,1
0,0,1,0,7,6000,0,2,1,25,0
0,0,0,1,4,0,0,1,1,43259,0
0,0,1,1,3,11000,0,9,1,5,0
0,1,0,1,7,0,0,5,1,182,0
0,0,1,1,7,0,0,7,1,74,0
0,0,1,1,6,0,0,2,1,213,0
0,0,1,0,7,0,0,4,1,43259,0
0,0,1,1,7,14000,0,20,1,19,0
0,0,1,0,7,0,0,21,1,43259,0
0,0,0,1,1,0,0,1,1,43259,1
0,0,0,1,5,0,0,1,1,43259,0
0,0,0,1,7,0,0,12,1,832,0
0,0,1,1,7,0,0,11,1,74,0
0,0,1,1,7,0,0,11,1,122,0
0,0,0,1,3,0,0,5,1,43259,0
0,1,0,1,7,9000,0,7,1,43259,0
1,0,0,0,3,0,0,0,1,43259,0
0,0,1,0,7,0,0,1,1,43259,0
0,0,0,1,7,6500,0,2,1,41,0
0,0,1,1,7,0,0,21,1,11,0
0,0,0,1,3,0,0,1,1,43259,0
0,0,1,0,7,0,0,1,0,43259,0
0,0,0,1,7,0,0,12,1,43259,0
0,0,1,0,1,12000,0,5,1,1525,0
0,0,0,1,4,11000,0,3,1,1516,0
0,0,0,1,7,0,0,5,1,229,0
0,0,1,0,7,16000,0,4,1,43259,0
0,0,0,1,7,0,0,2,1,529,0
0,0,0,1,6,0,0,1,0,43259,0
0,0,0,1,2,0,0,2,1,1155,0
0,1,0,1,7,5208,0,20,1,10,0
0,0,0,1,7,0,0,7,1,6,0
0,0,0,1,3,0,0,1,0,43259,0
0,0,1,0,7,8500,0,5,1,11,0
0,0,0,1,4,0,0,1,1,1046,0
1,0,0,0,1,0,0,0,1,1952,0
0,1,0,1,7,0,0,2,1,1614,0
0,0,0,1,1,0,0,1,1,43259,0
0,1,1,1,7,0,0,44,1,43259,0
0,0,1,1,7,0,0,8,1,650,0
0,0,0,1,3,0,0,8,1,0,0
0,0,0,1,7,6500,0,11,1,349,0
0,0,0,1,7,0,0,17,1,43259,0
0,0,0,1,7,0,1,2,1,59,0
0,0,1,0,7,0,0,2,1,43259,0
0,0,1,1,7,0,0,5,1,17,0
0,1,0,1,2,0,0,23,1,349,0
0,0,1,0,7,0,0,17,1,14,0
1,0,1,1,7,7000,0,3,1,43259,0
0,0,1,0,4,0,0,2,1,43259,0
0,0,1,0,7,21000,0,2,1,12,0
0,0,1,0,7,0,0,10,1,11,0
0,0,0,1,6,18000,0,2,1,48,0
0,0,0,1,5,0,1,1,1,43259,0
0,0,1,1,7,7700,0,12,1,128,0
0,0,0,1,7,0,0,7,1,89,0
0,1,1,0,7,0,0,10,1,6,0
0,0,0,1,3,0,0,1,0,43259,0
0,0,0,1,7,0,0,1,1,43259,0
0,0,1,0,7,0,0,11,1,54,0
0,0,1,1,4,5580,0,10,1,3,0
0,0,0,1,7,0,0,17,1,250,0
0,0,1,1,7,0,0,10,1,3,0
0,0,1,0,7,6500,0,1,1,43259,0
0,0,0,1,7,0,0,2,1,43259,0
0,0,1,0,2,0,1,1,0,43259,0
0,0,0,1,7,0,0,1,1,62,0
0,0,0,1,7,0,0,0,0,43259,0
1,0,0,0,3,0,0,0,1,43259,0
0,0,1,0,7,0,0,3,1,75,0
0,0,1,0,7,12000,0,15,1,28,0
0,0,0,1,6,0,0,1,1,304,0
0,0,0,1,7,0,0,12,1,43259,0
0,1,0,1,7,0,0,6,1,1337,0
0,0,0,1,7,0,0,22,1,47,0
0,0,1,0,7,8000,0,3,1,43259,0
0,0,1,0,7,0,0,41,1,19,0
0,1,1,0,7,0,0,7,1,19,1
0,0,1,0,7,0,0,32,1,4,0
0,0,1,0,7,0,0,6,1,14,0
0,0,1,1,7,15000,0,8,1,14,0
0,0,0,1,7,10000,0,3,1,138,0
0,1,1,1,6,0,0,5,1,43259,0
0,0,0,1,2,0,0,1,1,1385,0
0,0,0,1,2,0,0,1,1,43259,0
0,0,0,1,7,0,0,6,1,110,0
0,0,0,1,7,0,0,1,1,643,0
0,0,0,1,7,6000,0,7,1,20,0
1,1,0,1,3,0,0,3,1,43259,0
0,1,1,0,7,7068,0,9,1,151,0
0,1,0,1,4,0,0,3,0,43259,0
0,1,0,1,7,0,0,7,1,43259,0
0,0,1,1,7,0,0,3,1,48,0
0,0,0,1,3,0,0,1,0,43259,0
0,0,0,1,7,0,0,6,1,43259,0
0,0,0,1,6,0,0,1,1,363,0
0,0,0,1,7,13000,0,11,1,7,0
0,1,1,1,7,17000,0,11,1,32,0
0,0,1,0,7,0,0,14,1,27,0
0,0,1,1,7,0,0,39,1,5,0
0,1,1,1,4,0,0,8,1,43259,0
0,0,1,1,7,10044,0,15,1,6,0
1,0,0,1,3,0,0,3,1,1831,0
0,0,1,0,7,0,0,7,1,42,0
0,0,1,1,5,0,0,5,1,43259,0
0,0,1,1,6,0,0,4,1,756,0
0,0,0,1,4,6000,0,7,1,3,0
0,0,1,1,7,0,0,13,1,746,0
0,0,1,1,5,0,0,2,1,43259,0
0,1,0,1,1,0,0,2,1,43259,0
0,0,0,1,7,0,0,1,1,43259,0
0,0,0,1,7,0,0,0,1,43259,0
0,0,0,1,1,0,1,2,0,43259,0
1,0,0,0,3,0,0,0,0,43259,0
0,0,0,1,1,0,0,2,1,43259,0
0,1,0,0,7,19000,0,3,1,43259,0
0,1,0,1,7,0,0,7,1,75,0
0,0,0,1,3,22320,0,1,1,1483,0
0,0,0,1,7,12200,0,8,1,0,0
0,0,1,0,7,7000,0,4,1,43259,0
0,0,1,0,7,6600,1,6,1,33,0
0,0,0,1,4,0,0,1,1,43259,0
0,0,1,1,6,0,0,1,1,43259,0
0,1,0,1,7,15000,0,2,1,1882,0
0,0,0,1,5,14000,0,1,1,1778,0
0,0,0,1,7,0,0,3,1,43259,0
0,0,0,1,5,0,0,1,1,43259,0
0,0,0,1,7,8500,0,2,1,43259,0
0,1,0,1,3,0,0,4,1,43259,0
0,0,0,1,3,0,0,1,0,43259,0
0,0,0,1,6,7000,0,1,1,61,0
0,0,0,1,7,6300,0,4,1,43259,0
0,0,1,1,7,6000,0,4,1,3,0
0,0,0,1,1,0,1,2,1,517,0
0,0,0,1,7,5500,0,31,1,7,0
0,0,1,1,3,0,0,5,0,43259,0
0,1,1,1,7,0,0,30,1,915,0
0,0,1,1,7,0,0,12,1,3,0
0,0,0,1,7,0,0,2,1,63,0
0,0,0,1,6,0,0,1,1,43259,0
0,0,1,1,7,0,0,16,1,3,0
0,0,1,1,7,15000,0,6,1,4,0
0,0,1,1,7,0,0,5,1,28,0
1,0,0,0,3,0,0,0,1,43259,0
0,0,0,1,7,0,0,7,1,2175,0
0,0,0,1,6,0,0,3,1,43259,0
0,0,1,1,7,5208,0,3,1,20,0
0,0,1,1,7,8000,0,8,1,0,0
0,0,1,0,3,0,0,1,0,43259,0
0,1,0,1,3,0,0,4,1,3,0
0,0,0,1,5,0,0,2,1,43259,0
1,0,0,0,3,10000,0,0,1,43259,0
0,0,1,1,7,0,0,4,1,43259,0
0,0,1,0,7,0,0,3,0,43259,0
0,0,1,0,7,0,1,29,1,33,0
0,0,0,1,5,7000,0,1,1,2498,0
0,1,0,1,1,0,0,2,1,1061,0
0,0,1,0,6,0,0,1,1,43259,0
0,0,0,1,1,0,0,1,0,43259,0
0,0,1,1,5,0,0,2,1,201,0
0,0,1,0,7,7000,0,7,1,1328,0
0,0,1,0,7,9000,0,42,1,18,0
0,1,1,1,7,6000,0,9,1,43259,0
0,0,0,1,7,7500,0,8,1,18,0
0,0,1,1,7,7000,0,13,1,11,0
0,0,1,0,3,0,0,8,1,43259,0
0,0,0,1,7,8500,0,3,1,157,0
0,0,0,1,4,0,0,0,1,43259,0
0,1,1,1,7,0,0,16,1,1484,0
0,0,0,1,7,0,0,21,1,43259,0
0,0,0,1,3,0,0,1,1,43259,0
0,0,0,1,2,0,0,1,1,43259,0
0,0,1,0,7,0,0,18,1,903,0
0,0,0,1,3,0,0,2,1,1601,0
